WINE_ID,WINE_NM,WINE_AREA_NM,WINE_CTGRY,WINE_PRC
"1977","Brick Barn Pinot Noir 2016","Pinot Noir from Santa Ynez Valley, Santa Barbara, Central Coast, California","red wine","45"
"1978","Brick Barn Chardonnay 2016","Chardonnay from Santa Ynez Valley, Santa Barbara, Central Coast, California","white wine","30"
"1979","Brick Barn Reserve Cabernet Franc 2016","Cabernet Franc from Santa Ynez Valley, Santa Barbara, Central Coast, California","red wine","29"
"1980","Brick Barn Grenache Rose 2016","Rosé from Santa Ynez Valley, Santa Barbara, Central Coast, California","pink and rosé","30"
"1981","Brick House Select Pinot Noir 2016","Pinot Noir from Ribbon Ridge, Willamette Valley, Oregon","red wine","39"
"1982","Brick House Les Dijonnais Pinot Noir 2016","Pinot Noir from Ribbon Ridge, Willamette Valley, Oregon","red wine","53"
"1983","Brick House Cuvee du Tonnelier Pinot Noir 2015","Pinot Noir from Ribbon Ridge, Willamette Valley, Oregon","red wine","58"
"1984","Brick House Gamay Noir 2017","Gamay from Willamette Valley, Oregon","red wine","32"
"1985","Brick House Cascadia Chardonnay 2014","Chardonnay from Ribbon Ridge, Willamette Valley, Oregon","white wine","36"
"1986","Brick House Ribbon Ridge Chardonnay 2015","Chardonnay from Ribbon Ridge, Willamette Valley, Oregon","white wine","30"
"1987","Brick House Cascadia Chardonnay 2013","Chardonnay from Ribbon Ridge, Willamette Valley, Oregon","white wine","36"
"1988","Brick House Evelyn's Pinot Noir 2015","Pinot Noir from Ribbon Ridge, Willamette Valley, Oregon","red wine","68"
"1989","Bride Valley Rose Bella 2014","Rosé Sparkling Wine from England","sparkling & champagne","67"
"1990","Bridesmaid Red 2015","Bordeaux Red Blends from Napa Valley, California","red wine","50"
"1991","Bridlewood Monterey County Chardonnay 2015","Chardonnay from Monterey, Central Coast, California","white wine","18"
"1992","Bridlewood Paso Robles Cabernet Sauvignon 2016","Cabernet Sauvignon from Paso Robles, Central Coast, California","red wine","15"
"1993","Bridlewood Red Blend 175 2014","Other Red Blends from Central Coast, California","red wine","18"
"1994","Bridlewood Monterey County Chardonnay 2016","Chardonnay from Monterey, Central Coast, California","white wine","14"
"1995","Bridlewood Monterey Pinot Noir 2016","Pinot Noir from Monterey, Central Coast, California","red wine","15"
"1996","Brightwater Vineyards Lord Rutherford Sauvignon Blanc 2016","Sauvignon Blanc from Nelson, New Zealand","white wine","30"
"1997","Brittan Gestalt Block Pinot Noir 2014","Pinot Noir from Willamette Valley, Oregon","red wine","65"
"1998","Brittan Chardonnay 2015","Chardonnay from Willamette Valley, Oregon","white wine","45"
"1999","Brittan Basalt Block Pinot Noir 2014","Pinot Noir from McMinnville, Willamette Valley, Oregon","red wine","52"
"2000","Brittan Basalt Block Pinot Noir 2013","Pinot Noir from Willamette Valley, Oregon","red wine","49"
"2001","Brittan Chardonnay 2014","Chardonnay from Willamette Valley, Oregon","white wine","45"
"2002","Broadbent Gruner Veltliner (1 Liter) 2017","Gruner Veltliner from Austria","white wine","13"
"2003","Broadbent 10 Year Malmsey Madeira","Madeira from Portugal","","50"
"2004","Broadbent 10 Year Verdelho Madeira","Madeira from Madeira, Portugal","","46"
"2005","Broadbent 10 Year Boal Madeira","Madeira from Madeira, Portugal","","48"
"2006","Broadbent Vinho Verde Rose","Rosé from Vinho Verde, Portugal","pink and rosé","10"
"2007","Broadbent 5 Year Madeira Reserve","Madeira from Portugal","","26"
"2008","Broadbent 10 Year Sercial Madeira","Madeira from Madeira, Portugal","","48"
"2009","Broadbent Vinho Verde","Other White Blends from Vinho Verde, Portugal","white wine","11"
"2010","Broadbent Rainwater Madeira","Madeira from Portugal","","17"
"2011","Broadbent Madeira Colheita 1999","Madeira from Madeira, Portugal","","44"
"2012","Broadley Claudia's Choice Pinot Noir 2015","Pinot Noir from Willamette Valley, Oregon","red wine","50"
"2013","Broadley Shea Pinot Noir 2016","Pinot Noir from Yamhill-Carlton District, Willamette Valley, Oregon","red wine","46"
"2014","Broadley Marcile Lorraine Pinot Noir 2015","Pinot Noir from Willamette Valley, Oregon","red wine","44"
"2015","Broadley Claudia's Choice Pinot Noir 2014","Pinot Noir from Willamette Valley, Oregon","red wine","50"
"2016","Broadley Willamette Valley Pinot Noir 2017","Pinot Noir from Willamette Valley, Oregon","red wine","24"
"2017","Broadley Estate Pinot Noir 2017","Pinot Noir from Willamette Valley, Oregon","red wine","30"
"2018","Broadside Printer's Alley Proprietary Red 2014","Bordeaux Red Blends from Central Coast, California","red wine","16"
"2019","Broadside Paso Robles Cabernet Sauvignon 2016","Cabernet Sauvignon from Paso Robles, Central Coast, California","red wine","20"
"2020","Broadside Margarita Vineyard Cabernet Sauvignon 2016","Cabernet Sauvignon from Paso Robles, Central Coast, California","red wine","25"
"2021","Broadside White Hawk Vineyard Chardonnay 2013","Chardonnay from Santa Barbara, Central Coast, California","white wine","30"
"2022","Broadside Margarita Vineyard Merlot 2016","Merlot from Paso Robles, Central Coast, California","red wine","18"
"2023","Broadside Wild Ferment Chardonnay 2016","Chardonnay from Central Coast, California","white wine","18"
"2024","Broadside Printer's Alley Proprietary Red 2016","Bordeaux Red Blends from Central Coast, California","red wine","20"
"2025","Broc Cellars Eaglepoint Ranch Counoise 2016","Other Red Wine from Mendocino, California","red wine","30"
"2026","Broc Cellars Love Red 2017","Other Red Blends from North Coast, California","red wine","21"
"2027","Broc Cellars Michael Mara Vineyard Chardonnay 2016","Chardonnay from Sonoma Coast, Sonoma County, California","white wine","60"
"2028","Broc Cellars Alexander Valley Carignan 2015","Carignan from Alexander Valley, Sonoma County, California","red wine","37"
"2029","Broc Cellars Michael Mara Vineyard Chardonnay 2017","Chardonnay from Sonoma Coast, Sonoma County, California","white wine","53"
"2030","Broc Cellars Shell Creek Vineyard Chenin Blanc 2017","Chenin Blanc from Paso Robles, Central Coast, California","white wine","30"
"2031","Broc Cellars Vine Starr Zinfandel 2017","Zinfandel from Sonoma County, California","red wine","32"
"2032","Broc Cellars Valdiguie 2017","Valdiguie from North Coast, California","red wine","28"
"2033","Broc Cellars Amore Rosso Sangiovese 2017","Sangiovese from Mendocino, California","red wine","28"
"2034","Brocard Sainte Claire Chablis 2017","Chardonnay from Chablis, Burgundy, France","white wine","21"
"2035","Brocard Vau de Vey Premier Cru Chablis 2016","Chardonnay from Chablis, Burgundy, France","white wine","36"
"2036","Brocard Sainte Claire Chablis Vieilles Vignes 2017","Chardonnay from Chablis, Burgundy, France","white wine","30"
"2037","Brocard Sainte Claire Petit Chablis 2017","Chardonnay from Petit Chablis, Chablis, Burgundy, France","white wine","23"
"2038","Brocard Sainte Claire Chablis (375ML half-bottle) 2017","Chardonnay from Chablis, Burgundy, France","white wine","16"
"2039","Broglia Gavi La Meirana 2017","Cortese from Gavi, Piedmont, Italy","white wine","20"
"2040","Broglia La Meirana Sparkling Gavi 2017","Vintage Sparkling Wine from Piedmont, Italy","sparkling & champagne","20"
"2041","Broglia Bruno Broglia Gavi di Gavi 2015","Cortese from Gavi, Piedmont, Italy","white wine","36"
"2042","Brokenwood Hunter Valley Semillon 2016","Semillon from Hunter Valley, Australia","white wine","20"
"2043","Broman Cellars Cabernet Sauvignon 2010","Cabernet Sauvignon from Napa Valley, California","red wine","65"
"2044","Broman Cellars Proprietary Red Blend 2013","Other Red Blends from Napa Valley, California","red wine","40"
"2045","Brooks Rastaban Pinot Noir 2015","Pinot Noir from Willamette Valley, Oregon","red wine","52"
"2046","Brooks Ara Riesling 2015","Riesling from Willamette Valley, Oregon","white wine","28"
"2047","Brooks Runaway Red Pinot Noir 2017","Pinot Noir from Willamette Valley, Oregon","red wine","23"
"2048","Brooks Willamette Valley Pinot Noir 2017","Pinot Noir from Willamette Valley, Oregon","red wine","24"
"2049","Brooks Ara Riesling 2016","Riesling from Willamette Valley, Oregon","white wine","29"
"2050","Brooks Amycas White Blend 2017","Other White Blends from Willamette Valley, Oregon","white wine","16"
"2051","Brooks Janus Pinot Noir 2015","Pinot Noir from Willamette Valley, Oregon","red wine","39"
"2052","Brooks Yamhill Vineyard Riesling 2012","Riesling from Willamette Valley, Oregon","white wine","25"
"2053","Brooks Rose of Pinot Noir 2017","Rosé from Willamette Valley, Oregon","pink and rosé","23"
"2054","Brooks Pinot Blanc 2017","Pinot Blanc from Willamette Valley, Oregon","white wine","16"
"2055","Brooks Willamette Valley Riesling 2016","Riesling from Willamette Valley, Oregon","white wine","20"
"2056","Brooks Runaway Red Pinot Noir 2016","Pinot Noir from Willamette Valley, Oregon","red wine","23"
"2057","Brooks Oak Ridge Vineyard Gewurztraminer 2017","Gewurztraminer from Oregon","white wine","16"
"2058","Brown Estate Zinfandel 2016","Zinfandel from Napa Valley, California","red wine","46"
"2059","Brown Estate Chaos Theory 2016","Other Red Blends from Napa Valley, California","red wine","40"
"2060","Browne Family Vineyards Merlot 2013","Merlot from Columbia Valley, Washington","red wine","32"
"2061","Browne Family Vineyards Malbec 2015","Malbec from Columbia Valley, Washington","red wine","34"
"2062","Browne Family Vineyards Sauvignon Blanc 2017","Sauvignon Blanc from Columbia Valley, Washington","white wine","18"
"2063","Browne Family Vineyards Chardonnay 2016","Chardonnay from Columbia Valley, Washington","white wine","26"
"2064","Browne Family Vineyards Tribute Red Blend 2015","Bordeaux Red Blends from Columbia Valley, Washington","red wine","30"
"2065","Browne Family Vineyards Grenache Rose 2017","Rosé from Columbia Valley, Washington","pink and rosé","18"
"2066","Browne Family Vineyards Cabernet Franc 2016","Cabernet Franc from Columbia Valley, Washington","red wine","40"
"2067","Browne Family Vineyards Cabernet Sauvignon 2016","Cabernet Sauvignon from Columbia Valley, Washington","red wine","32"
"2068","Bruce Patch Red Dress Primitivo 2012","Zinfandel from Dry Creek Valley, Sonoma County, California","red wine","34"
"2069","Bruce Patch Harris Kratka Vineyard Zinfandel 2014","Zinfandel from Alexander Valley, Sonoma County, California","red wine","35"
"2070","Bruna Grimaldi Nebbiolo d'Alba 2015","Nebbiolo from Alba, Piedmont, Italy","red wine","23"
"2071","Bruna Grimaldi San Martino Dolcetto d'Alba 2015","Dolcetto from Alba, Piedmont, Italy","red wine","18"
"2072","Bruna Grimaldi Barolo Badarina 2014","Nebbiolo from Barolo, Piedmont, Italy","red wine","90"
"2073","Bruna Grimaldi Arneis 2017","Arneis from Piedmont, Italy","white wine","21"
"2074","Bruna Grimaldi Camilla Barolo 2014","Nebbiolo from Barolo, Piedmont, Italy","red wine","45"
"2075","Bruna Grimaldi Scassa Barbera d'Alba 2013","Barbera from Alba, Piedmont, Italy","red wine","23"
"2076","Bruna Grimaldi Nebbiolo d'Alba 2016","Nebbiolo from Alba, Piedmont, Italy","red wine","24"
"2077","Brundlmayer Riesling Zobinger Heiligenstein 2016","Riesling from Kamptal, Austria","white wine","45"
"2078","Brundlmayer Kamptaler Terrassen Riesling 2016","Riesling from Kamptal, Austria","white wine","30"
"2079","Brundlmayer Alte Reben Gruner Veltliner 2015","Gruner Veltliner from Kamptal, Austria","white wine","58"
"2080","Brundlmayer Steinmassel Riesling 2016","Riesling from Kamptal, Austria","white wine","40"
"2081","Brundlmayer Kamptaler Terrassen Gruner Veltliner 2017","Gruner Veltliner from Kamptal, Austria","white wine","26"
"2082","Bruno Clair Gevrey-Chambertin Clos du Fonteny Premier Cru 2011","Pinot Noir from Gevrey-Chambertin, Cote de Nuits, Cote d'Or, Burgundy, France","red wine","110"
"2083","Bruno Colin Chassagne-Montrachet 2013","Chardonnay from Chassagne-Montrachet, Cote de Beaune, Cote d'Or, Burgundy, France","white wine","75"
"2084","Bruno Colin Bourgogne Pinot Noir 2016","Pinot Noir from Burgundy, France","red wine","32"
"2085","Bruno Colin Puligny-Montrachet La Truffiere Premier Cru 2016","Chardonnay from Puligny-Montrachet, Cote de Beaune, Cote d'Or, Burgundy, France","white wine","166"
"2086","Bruno Colin Bourgogne Chardonnay 2016","Chardonnay from Burgundy, France","white wine","35"
"2087","Bruno Giacosa Barolo Falletto 2012","Nebbiolo from Barolo, Piedmont, Italy","red wine","260"
"2088","Bruno Giacosa Barolo Le Rocche del Falletto Riserva 2012","Nebbiolo from Barolo, Piedmont, Italy","red wine","425"
"2089","Bruno Giacosa Falletto Dolcetto d'Alba 2017","Dolcetto from Alba, Piedmont, Italy","red wine","27"
"2090","Bruno Giacosa Nebbiolo d'Alba 2016","Nebbiolo from Alba, Piedmont, Italy","red wine","40"
"2091","Bruno Giacosa Roero Arneis 2017","Arneis from Roero, Piedmont, Italy","white wine","29"
"2092","Bruno Giacosa Barbaresco 2014","Nebbiolo from Barbaresco, Piedmont, Italy","red wine","175"
"2093","Bruno Giacosa Valmaggiore Nebbiolo d'Alba 2015","Nebbiolo from Alba, Piedmont, Italy","red wine","38"
"2094","Bruno Giacosa Barbaresco Rabaja 2014","Nebbiolo from Barbaresco, Piedmont, Italy","red wine","200"
"2095","Bruno Giacosa Barolo Falletto di Serralunga d'Alba Riserva (red label) 1996","Nebbiolo from Barolo, Piedmont, Italy","red wine","850"
"2096","Bruno Giacosa Barbaresco Rabaja 1996","Nebbiolo from Barbaresco, Piedmont, Italy","red wine","450"
"2097","Bruno Paillard Brut Assemblage 2008","Vintage Sparkling Wine from Champagne, France","sparkling & champagne","80"
"2098","Bruno Paillard Premiere Cuvee","Non-Vintage Sparkling Wine from Champagne, France","sparkling & champagne","55"
"2099","Bruno Paillard Rose Premiere Cuvee (375ML half-bottle)","Rosé Sparkling Wine from Champagne, France","sparkling & champagne","35"
"2100","Bruno Paillard Rose Premiere Cuvee","Rosé Sparkling Wine from Champagne, France","sparkling & champagne","65"
"2101","Bruscus San Valentino Amabile Red Lambrusco 2016","Red Sparkling Wine from Emilia-Romagna, Italy","sparkling & champagne","18"
"2102","Bruscus San Valentino Amabile Red Lambrusco 2015","Red Sparkling Wine from Emilia-Romagna, Italy","sparkling & champagne","16"
"2103","Bryant Family Cabernet Sauvignon 1998","Cabernet Sauvignon from Napa Valley, California","red wine","480"
"2104","Bryant Family Cabernet Sauvignon 2013","Cabernet Sauvignon from Napa Valley, California","red wine","700"
"2105","Bryant Family Cabernet Sauvignon 2015","Cabernet Sauvignon from Napa Valley, California","red wine","730"
"2106","Bryant Family Bettina Proprietary Red 2013","Bordeaux Red Blends from Napa Valley, California","red wine","540"
"2107","Bryant Family Cabernet Sauvignon 2010","Cabernet Sauvignon from Napa Valley, California","red wine","530"
"2108","Bryant Family Bettina Proprietary Red 2015","Bordeaux Red Blends from Napa Valley, California","red wine","530"
"2109","Bryant Family Bettina Proprietary Red 2012","Bordeaux Red Blends from Napa Valley, California","red wine","500"
"2110","Bryant Family DB4 2015","Bordeaux Red Blends from Napa Valley, California","red wine","200"
"2111","Bryant Family Cabernet Sauvignon 2014","Cabernet Sauvignon from Napa Valley, California","red wine","730"
"2112","Bryant Family Bettina Proprietary Red 2010","Bordeaux Red Blends from Napa Valley, California","red wine","400"
"2113","Bryant Family Cabernet Sauvignon 2011","Cabernet Sauvignon from Napa Valley, California","red wine","400"
"2114","Bryant Family Bettina Proprietary Red 2011","Bordeaux Red Blends from Napa Valley, California","red wine","425"
"2115","Bucci Verdicchio Classico dei Castelli di Jesi 2016","Verdicchio from Marche, Italy","white wine","20"
"2116","Bucci Villa Bucci Riserva Verdicchio 2015","Verdicchio from Italy","white wine","68"
"2117","Bucci Villa Bucci Riserva Verdicchio (1.5 Liter Magnum) 2010","Verdicchio from Italy","white wine","110"
"2118","Bucci Piceno Pongelli 2014","Tuscan Blends from Marche, Italy","red wine","22"
"2119","Bucklin Old Hill Ranch Bambino Zinfandel 2014","Zinfandel from Sonoma Valley, Sonoma County, California","red wine","27"
"2120","Bucklin Old Hill Ranch Cabernet Sauvignon 2013","Cabernet Sauvignon from Sonoma Valley, Sonoma County, California","red wine","42"
"2121","Bucklin Old Hill Ranch Cabernet Sauvignon 2012","Cabernet Sauvignon from Sonoma County, California","red wine","39"
"2122","Buehler Zinfandel 2014","Zinfandel from Napa Valley, California","red wine","20"
"2123","Buehler Estate Cabernet Sauvignon 2015","Cabernet Sauvignon from Napa Valley, California","red wine","40"
"2124","Buehler White Zinfandel 2017","White Zinfandel from California","pink and rosé","13"
"2125","Buena Vista Carneros Chardonnay 2015","Chardonnay from Carneros, California","white wine","24"
"2126","Buena Vista Carneros Pinot Noir 2014","Pinot Noir from Carneros, California","red wine","25"
"2127","Buena Vista North Coast Chardonnay 2015","Chardonnay from North Coast, California","white wine","17"
"2128","Buena Vista Sonoma Merlot 2013","Merlot from Carneros, California","red wine","24"
"2129","Buena Vista La Victoire Brut Champagne","Non-Vintage Sparkling Wine from Champagne, France","sparkling & champagne","75"
"2130","Buenas Tempranillo 2014","Tempranillo from La Mancha, Spain","red wine","10"
"2131","Buenas Viura 2015","Other White Wine from La Mancha, Spain","white wine","11"
"2132","Buglioni L'Amarone della Valpolicella Classico 2012","Other Red Blends from Valpolicella, Veneto, Italy","red wine","59"
"2133","Bulletin Place Unoaked Chardonnay 2017","Chardonnay from Australia","white wine","11"
"2134","Bulletin Place Cabernet Sauvignon 2016","Cabernet Sauvignon from Australia","red wine","12"
"2135","Burgans Albarino 2017","Albarino from Rias Baixas, Spain","white wine","15"
"2136","Burgess Topography Red Blend 2014","Other Red Blends from Napa Valley, California","red wine","45"
"2137","Burgo Viejo Palacio del Burgo Tinto 2015","Tempranillo from Rioja, Spain","red wine","14"
"2138","Burgo Viejo Graciano 2017","Other Red Wine from Rioja, Spain","red wine","18"
"2139","Burgo Viejo Graciano 2014","Other Red Wine from Rioja, Spain","red wine","18"
"2140","Burgo Viejo Rioja Crianza 2015","Other Red Blends from Rioja, Spain","red wine","16"
"2141","Burgo Viejo Palacio del Burgo Rioja Reserva 2014","Tempranillo from Rioja, Spain","red wine","22"
"2142","Burn Cottage Pinot Noir 2015","Pinot Noir from Central Otago, New Zealand","red wine","65"
"2143","Burn Cottage Cashburn Pinot Noir 2016","Pinot Noir from Central Otago, New Zealand","red wine","33"
"2144","Burn Cottage Moonlight Race Pinot Noir 2015","Pinot Noir from Central Otago, New Zealand","red wine","42"
"2145","Burrier Chateau de Beauregard Pouilly-Fuisse (375ML half-bottle) 2016","Chardonnay from Pouilly-Fuisse, Maconnais, Burgundy, France","white wine","24"
"2146","Burrier Chateau de Beauregard Saint-Veran 2016","Chardonnay from St-Veran, Maconnais, Burgundy, France","white wine","28"
"2147","Burrier Chateau de Beauregard Pouilly-Fuisse 2013","Chardonnay from Pouilly-Fuisse, Maconnais, Burgundy, France","white wine","39"
"2148","Burrier Chateau de Beauregard Pouilly-Fuisse 2016","Chardonnay from Pouilly-Fuisse, Maconnais, Burgundy, France","white wine","38"
"2149","Burrier Chateau de Beauregard Pouilly-Fuisse (375ML half-bottle) 2013","Chardonnay from Pouilly-Fuisse, Maconnais, Burgundy, France","white wine","22"
"2150","Buscado Vivo o Muerto El Manzano Chacayes 2015","Bordeaux Red Blends from Uco Valley, Mendoza, Argentina","red wine","50"
"2151","Buscado Vivo o Muerto El Indio El Cepillo 2015","Other Red Blends from Uco Valley, Mendoza, Argentina","red wine","50"
"2152","Buscado Vivo o Muerto La Verdad Gualtallary 2015","Bordeaux Red Blends from Uco Valley, Mendoza, Argentina","red wine","50"
"2153","Busi Chianti Rufina 2016","Sangiovese from Chianti, Tuscany, Italy","red wine","18"
"2154","Butternut Chardonnay 2017","Chardonnay from California","white wine","17"
"2155","Butternut Rose 2018","Rosé from Central Coast, California","pink and rosé","17"
"2156","Butternut Pinot Noir 2016","Pinot Noir from California","red wine","17"
"2157","Buttonwood Farms Pinot Noir 2013","Pinot Noir from Sta. Rita Hills, Santa Barbara, Central Coast, California","red wine","36"
"2158","Buttonwood Farms Classic Cuvee 2013","Bordeaux Red Blends from Central Coast, California","red wine","21"
"2159","Buttonwood Farms Pinot Noir 2014","Pinot Noir from Sta. Rita Hills, Santa Barbara, Central Coast, California","red wine","31"
"2160","Buty Rediviva of the Stones 2012","Other Red Blends from Walla Walla Valley, Columbia Valley, Washington","red wine","60"
"2161","Buty Connor Lee Merlot Cabernet Franc 2014","Bordeaux Red Blends from Columbia Valley, Washington","red wine","70"
"2162","By Farr GC Chardonnay Cote Vineyard 2015","Chardonnay from Australia","white wine","90"
"2163","By Farr GC Chardonnay Cote Vineyard 2016","Chardonnay from Australia","white wine","100"
"2164","Byron Nielson Vineyard Pinot Noir 2014","Pinot Noir from Santa Maria Valley, Central Coast, California","red wine","30"
"2165","C'est la Vie Rose 2017","Rosé from Languedoc-Roussillon, France","pink and rosé","14"
"2166","C'est la Vie Rose 2016","Rosé from Languedoc-Roussillon, France","pink and rosé","14"
"2167","C'est la Vie Red 2016","Other Red Blends from Languedoc-Roussillon, France","red wine","14"
"2168","C'est la Vie Red 2015","Other Red Blends from Languedoc-Roussillon, France","red wine","14"
"2169","C'est la Vie White 2016","Other White Blends from Languedoc-Roussillon, France","white wine","14"
"2170","C. Donatiello Peters Vineyard Chardonnay 2011","Chardonnay from Russian River, Sonoma County, California","white wine","35"
"2171","C. Donatiello Russian River Valley Chardonnay 2015","Chardonnay from Russian River, Sonoma County, California","white wine","25"
"2172","Ca' del Bosco Franciacorta Cuvee Prestige","Non-Vintage Sparkling Wine from Lombardy, Italy","sparkling & champagne","50"
"2173","Ca' del Bosco Franciacorta Cuvee Prestige Rose","Rosé Sparkling Wine from Lombardy, Italy","sparkling & champagne","60"
"2174","Ca' Donini Montepulciano d'Abruzzo 2017","Montepulciano from Abruzzo, Italy","red wine","9"
"2175","Ca' Rome Maria di Brun Barbaresco 2012","Nebbiolo from Barbaresco, Piedmont, Italy","red wine","110"
"2176","Ca' Rome Barolo Vigna Cerretta (1.5 Liter Magnum) 2013","Nebbiolo from Barolo, Piedmont, Italy","red wine","190"
"2177","Ca' Rome Barolo Vigna Cerretta 2013","Nebbiolo from Barolo, Piedmont, Italy","red wine","106"
"2178","Ca' Rome Rapet Gold Label Barolo 2013","Nebbiolo from Barolo, Piedmont, Italy","red wine","100"
"2179","Ca' Rugate Valpolicella Rio Albo 2016","Other Red Blends from Valpolicella, Veneto, Italy","red wine","17"
"2180","Ca' Rugate Soave Classico Monte Alto 2015","Garganega from Soave, Veneto, Italy","white wine","28"
"2181","Ca' Rugate Soave Classico Monte Fiorentine 2015","Other White Wine from Soave, Veneto, Italy","white wine","23"
"2182","Ca' Rugate Recioto di Soave La Perlara (500ML) 2014","Other Dessert from Soave, Veneto, Italy","","44"
"2183","Ca' Rugate Soave Classico San Michele 2016","Garganega from Soave, Veneto, Italy","white wine","17"
"2184","Ca' Rugate Valpolicella Rio Albo 2017","Other Red Blends from Valpolicella, Veneto, Italy","red wine","19"
"2185","Ca' Rugate Valpolicella Superiore 2016","Other Red Blends from Valpolicella, Veneto, Italy","red wine","18"
"2186","Ca' Rugate Amarone della Valpolicella 2014","Other Red Blends from Valpolicella, Veneto, Italy","red wine","65"
"2187","Ca' Selva Prosecco","Non-Vintage Sparkling Wine from Prosecco, Italy","sparkling & champagne","13"
"2188","Ca'Momi Heartcraft Sparkling White","Non-Vintage Sparkling Wine from California","sparkling & champagne","15"
"2189","Ca'Momi Heartcraft Sparkling Rose","Rosé Sparkling Wine from California","sparkling & champagne","15"
"2190","Ca'Momi Cabernet Sauvignon 2016","Cabernet Sauvignon from Napa Valley, California","red wine","21"
"2191","Ca'Momi Merlot 2016","Merlot from Napa Valley, California","red wine","22"
"2192","Ca'Momi Merlot 2015","Merlot from Napa Valley, California","red wine","22"
"2193","Ca'Momi Reserve Pinot Noir 2012","Pinot Noir from Carneros, California","red wine","52"
"2194","Ca'Momi Chardonnay 2016","Chardonnay from Napa Valley, California","white wine","15"
"2195","Ca'Momi Reserve Pinot Noir 2013","Pinot Noir from Carneros, California","red wine","52"
"2196","Ca'Momi Do It For The Love White Wine 2013","Other White Blends from California","white wine","16"
"2197","Ca'Nova Ghemme 2008","Nebbiolo from Piedmont, Italy","red wine","36"
"2198","Ca'Viola Brichet Barbera d'Alba 2015","Barbera from Alba, Piedmont, Italy","red wine","22"
"2199","Ca'Viola Vilot Dolcetto d'Alba 2016","Dolcetto from Alba, Piedmont, Italy","red wine","21"
"2200","Cabreo Il Borgo 2013","Tuscan Blends from Tuscany, Italy","red wine","57"
"2201","Cachette Cotes du Rhone 2016","Rhone Red Blends from Cotes du Rhone, Rhone, France","red wine","13"
"2202","Cadaretta Sauvignon Blanc/Semillon 2015","Bordeaux White Blends from Columbia Valley, Washington","white wine","27"
"2203","CADE Reserve Cabernet Sauvignon Howell Mountain 2013","Cabernet Sauvignon from Howell Mountain, Napa Valley, California","red wine","200"
"2204","CADE Estate Cabernet Sauvignon Howell Mountain 2016","Cabernet Sauvignon from Howell Mountain, Napa Valley, California","red wine","108"
"2205","CADE Napa Valley Sauvignon Blanc 2017","Sauvignon Blanc from Napa Valley, California","white wine","34"
"2206","CADE Reserve Cabernet Sauvignon Howell Mountain 2014","Cabernet Sauvignon from Howell Mountain, Napa Valley, California","red wine","210"
"2207","CADE Reserve Cabernet Sauvignon Howell Mountain 2015","Cabernet Sauvignon from Howell Mountain, Napa Valley, California","red wine","225"
"2208","Caiarossa 2012","Tuscan Blends from Tuscany, Italy","red wine","70"
"2209","Caiarossa 2008","Other Red Blends from Tuscany, Italy","red wine","80"
"2210","Caiarossa Aria di Caiarossa 2012","Bordeaux Red Blends from Tuscany, Italy","red wine","42"
"2211","Cakebread Cabernet Sauvignon 2016","Cabernet Sauvignon from Napa Valley, California","red wine","80"
"2212","Cakebread Sauvignon Blanc 2017","Sauvignon Blanc from Napa Valley, California","white wine","29"
"2213","Cakebread Chardonnay 2017","Chardonnay from Napa Valley, California","white wine","48"
"2214","Cakebread Merlot 2015","Merlot from Napa Valley, California","red wine","59"
"2215","Cakebread Chardonnay (375ML half-bottle) 2016","Chardonnay from Napa Valley, California","white wine","29"
"2216","Cakebread Two Creeks Vineyards Pinot Noir 2016","Pinot Noir from Anderson Valley, Mendocino, California","red wine","55"
"2217","Cakebread Benchland Select Cabernet Sauvignon 2015","Cabernet Sauvignon from Napa Valley, California","red wine","135"
"2218","Cakebread Reserve Chardonnay 2015","Chardonnay from Carneros, California","white wine","60"
"2219","Calafia Cabernet Sauvignon 2014","Cabernet Sauvignon from Napa Valley, California","red wine","60"
"2220","Calafia Cabernet Sauvignon 2015","Cabernet Sauvignon from Napa Valley, California","red wine","58"
"2221","Calafia La Reina 2014","Other Red Blends from St. Helena, Napa Valley, California","red wine","60"
"2222","Calcareous Vineyard Signature Estate Cabernet Sauvignon 2012","Cabernet Sauvignon from Paso Robles, Central Coast, California","red wine","110"
"2223","Calcareous Vineyard Twisted Paso Chardonnay 2015","Chardonnay from Paso Robles, Central Coast, California","white wine","19"
"2224","Calcareous Vineyard Twisted Paso Cabernet Sauvignon 2014","Cabernet Sauvignon from Paso Robles, Central Coast, California","red wine","20"
"2225","Calcareous Vineyard Twisted Paso Zinfandel 2015","Zinfandel from Paso Robles, Central Coast, California","red wine","22"
"2226","Calcareous Vineyard Lloyd of Calcareous 2013","Bordeaux Red Blends from Paso Robles, Central Coast, California","red wine","65"
"2227","Calcu Cabernet Sauvignon 2015","Cabernet Sauvignon from Colchagua Valley, Rapel Valley, Chile","red wine","13"
"2228","Calcu Reserva Especial Sauvignon Blanc 2017","Sauvignon Blanc from Colchagua Valley, Rapel Valley, Chile","white wine","13"
"2229","Calcu Malbec 2016","Malbec from Colchagua Valley, Rapel Valley, Chile","red wine","13"
"2230","Calcu Rose 2018","Rosé from Colchagua Valley, Rapel Valley, Chile","pink and rosé","13"
"2231","Calcu FUTA Cabernet Sauvignon 2014","Cabernet Sauvignon from Colchagua Valley, Rapel Valley, Chile","red wine","60"
"2232","Calcu Rose 2017","Rosé from Colchagua Valley, Rapel Valley, Chile","pink and rosé","13"
